# z  H_LCDM[1/Mpc]  H_GREA[1/Mpc]  H_ratio-1  w_GREA
2.511299847e-01 2.640243260e-04 2.624679557e-04 -5.894798703e-03 -1.068522602e+00
2.521387080e-01 2.641665743e-04 2.625990868e-04 -5.933708743e-03 -1.068755801e+00
2.531482445e-01 2.643090903e-04 2.627304601e-04 -5.972666991e-03 -1.068988584e+00
2.541585950e-01 2.644518742e-04 2.628620761e-04 -6.011672609e-03 -1.069220949e+00
2.551697601e-01 2.645949264e-04 2.629939354e-04 -6.050724764e-03 -1.069452895e+00
2.561817404e-01 2.647382475e-04 2.631260385e-04 -6.089822621e-03 -1.069684421e+00
2.571945367e-01 2.648818376e-04 2.632583860e-04 -6.128965345e-03 -1.069915525e+00
2.582081495e-01 2.650256974e-04 2.633909786e-04 -6.168152097e-03 -1.070146206e+00
2.592225795e-01 2.651698271e-04 2.635238167e-04 -6.207382052e-03 -1.070376463e+00
2.602378275e-01 2.653142272e-04 2.636569009e-04 -6.246654379e-03 -1.070606295e+00
2.612538939e-01 2.654588981e-04 2.637902319e-04 -6.285968245e-03 -1.070835701e+00
2.622707796e-01 2.656038401e-04 2.639238101e-04 -6.325322819e-03 -1.071064679e+00
2.632884851e-01 2.657490537e-04 2.640576361e-04 -6.364717277e-03 -1.071293228e+00
2.643070112e-01 2.658945393e-04 2.641917106e-04 -6.404150779e-03 -1.071521348e+00
2.653263584e-01 2.660402973e-04 2.643260341e-04 -6.443622498e-03 -1.071749036e+00
2.663465275e-01 2.661863281e-04 2.644606071e-04 -6.483131612e-03 -1.071976291e+00
